skos_iris,pwc_uris,labels
http://w3id.org/mlso/vocab/ml_task_type/3DSemanticSceneCompletion,https://paperswithcode.com/task/3d-semantic-scene-completion-from-a-single,3D Semantic Scene Completion
http://w3id.org/mlso/vocab/ml_task_type/3DShapeClassification,https://paperswithcode.com/task/3d-shape-retrieval,3D Shape Classification
http://w3id.org/mlso/vocab/ml_task_type/3DShapeGeneration,https://paperswithcode.com/task/3d-shape-generation,3D Shape Generation
http://w3id.org/mlso/vocab/ml_task_type/3DShapeModeling,https://paperswithcode.com/task/3d-shape-modeling,3D Shape Modeling
http://w3id.org/mlso/vocab/ml_task_type/3DShapeRecognition,https://paperswithcode.com/task/3d-shape-recognition,3D Shape Recognition
http://w3id.org/mlso/vocab/ml_task_type/3DShapeRepresentation,https://paperswithcode.com/task/3d-shape-representation,3D Shape Representation
http://w3id.org/mlso/vocab/ml_task_type/3DShapeRetrieval,https://paperswithcode.com/task/3d-shape-retrieval-1,3D Shape Retrieval
http://w3id.org/mlso/vocab/ml_task_type/3DVolumetricReconstruction,https://paperswithcode.com/task/3d-volumetric-reconstruction,3D Volumetric Reconstruction
http://w3id.org/mlso/vocab/ml_task_type/3Ddensecaptioning,https://paperswithcode.com/task/3d-dense-captioning,3D dense captioning
http://w3id.org/mlso/vocab/ml_task_type/3Dhumanposeandshapeestimation,https://paperswithcode.com/task/3d-human-pose-and-shape-estimation,3D human pose and shape estimation
http://w3id.org/mlso/vocab/ml_task_type/3dscenegraphgeneration,https://paperswithcode.com/task/3d-scene-graph-generation,3d scene graph generation
http://w3id.org/mlso/vocab/ml_task_type/6DPoseEstimation,https://paperswithcode.com/task/6d-pose-estimation-1,6D Pose Estimation
http://w3id.org/mlso/vocab/ml_task_type/AMR-to-TextGeneration,https://paperswithcode.com/task/amr-to-text-generation,AMR-to-Text Generation
http://w3id.org/mlso/vocab/ml_task_type/AMRParsing,https://paperswithcode.com/task/amr-parsing,AMR Parsing
http://w3id.org/mlso/vocab/ml_task_type/AbbreviationDetection,https://paperswithcode.com/task/abbreviationdetection,Abbreviation Detection
http://w3id.org/mlso/vocab/ml_task_type/AbnormalEventDetectionInVideo,https://paperswithcode.com/task/abnormal-event-detection-in-video,Abnormal Event Detection In Video
http://w3id.org/mlso/vocab/ml_task_type/AbstractiveDialogueSummarization,https://paperswithcode.com/task/abstractive-dialogue-summarization,Abstractive Dialogue Summarization
http://w3id.org/mlso/vocab/ml_task_type/AbstractiveDialogueSummarization,https://paperswithcode.com/task/dialogue-summary,Abstractive Dialogue Summarization
http://w3id.org/mlso/vocab/ml_task_type/AbuseDetection,https://paperswithcode.com/task/abuse-detection,Abuse Detection
http://w3id.org/mlso/vocab/ml_task_type/AccidentAnticipation,https://paperswithcode.com/task/accident-anticipation,Accident Anticipation
http://w3id.org/mlso/vocab/ml_task_type/Acousticechocancellation,https://paperswithcode.com/task/acoustic-echo-cancellation,Acoustic echo cancellation
http://w3id.org/mlso/vocab/ml_task_type/ActionAnticipation,https://paperswithcode.com/task/action-anticipation,Action Anticipation
http://w3id.org/mlso/vocab/ml_task_type/ActionAssessment,https://paperswithcode.com/task/action-assessment,Action Assessment
http://w3id.org/mlso/vocab/ml_task_type/ActionClassification,https://paperswithcode.com/task/action-classification,Action Classification
http://w3id.org/mlso/vocab/ml_task_type/ActionGeneration,https://paperswithcode.com/task/action-generation,Action Generation
http://w3id.org/mlso/vocab/ml_task_type/ActionParsing,https://paperswithcode.com/task/action-parsing,Action Parsing
http://w3id.org/mlso/vocab/ml_task_type/ActionQualityAssessment,https://paperswithcode.com/task/action-quality-assessment,Action Quality Assessment
http://w3id.org/mlso/vocab/ml_task_type/ActionSegmentation,https://paperswithcode.com/task/action-segmentation,Action Segmentation
http://w3id.org/mlso/vocab/ml_task_type/ActionSpotting,https://paperswithcode.com/task/action-spotting,Action Spotting
http://w3id.org/mlso/vocab/ml_task_type/ActionTripletDetection,https://paperswithcode.com/task/action-triplet-detection,Action Triplet Detection
http://w3id.org/mlso/vocab/ml_task_type/ActionTripletRecognition,https://paperswithcode.com/task/action-triplet-recognition,Action Triplet Recognition
http://w3id.org/mlso/vocab/ml_task_type/ActionUnderstanding,https://paperswithcode.com/task/action-understanding,Action Understanding
http://w3id.org/mlso/vocab/ml_task_type/ActionablePhraseDetection,https://paperswithcode.com/task/actionable-phrase-detection,Actionable Phrase Detection
http://w3id.org/mlso/vocab/ml_task_type/ActiveLearning,https://paperswithcode.com/task/active-learning,Active Learning
http://w3id.org/mlso/vocab/ml_task_type/ActiveSpeakerLocalization,https://paperswithcode.com/task/active-speaker-localization,Active Speaker Localization
http://w3id.org/mlso/vocab/ml_task_type/ActivenessDetection,https://paperswithcode.com/task/activeness-detection,Activeness Detection
http://w3id.org/mlso/vocab/ml_task_type/ActivityDetection,https://paperswithcode.com/task/activity-detection,Activity Detection
http://w3id.org/mlso/vocab/ml_task_type/ActivityPrediction,https://paperswithcode.com/task/activity-prediction,Activity Prediction
http://w3id.org/mlso/vocab/ml_task_type/AdversarialAttack,https://paperswithcode.com/task/adversarial-attack,Adversarial Attack
http://w3id.org/mlso/vocab/ml_task_type/AdversarialDefense,https://paperswithcode.com/task/adversarial-defense,Adversarial Defense
http://w3id.org/mlso/vocab/ml_task_type/AdversarialRobustness,https://paperswithcode.com/task/adversarial-robustness,Adversarial Robustness
http://w3id.org/mlso/vocab/ml_task_type/AestheticImageCaptioning,https://paperswithcode.com/task/aesthetic-image-captioning,Aesthetic Image Captioning
http://w3id.org/mlso/vocab/ml_task_type/AffordanceDetection,https://paperswithcode.com/task/affordance-detection,Affordance Detection
http://w3id.org/mlso/vocab/ml_task_type/AffordanceRecognition,https://paperswithcode.com/task/affordance-recognition,Affordance Recognition
http://w3id.org/mlso/vocab/ml_task_type/AgeAndGenderClassification,https://paperswithcode.com/task/age-and-gender-classification,Age And Gender Classification
http://w3id.org/mlso/vocab/ml_task_type/AgeEstimation,https://paperswithcode.com/task/age-estimation,Age Estimation
http://w3id.org/mlso/vocab/ml_task_type/AgeandGenderEstimation,https://paperswithcode.com/task/age-and-gender-estimation,Age and Gender Estimation
http://w3id.org/mlso/vocab/ml_task_type/AggressionIdentification,https://paperswithcode.com/task/aggression-identification,Aggression Identification
http://w3id.org/mlso/vocab/ml_task_type/AirPollutionPrediction,https://paperswithcode.com/task/air-pollution-prediction,Air Pollution Prediction
http://w3id.org/mlso/vocab/ml_task_type/AlgorithmicTrading,https://paperswithcode.com/task/algorithmic-trading,Algorithmic Trading
http://w3id.org/mlso/vocab/ml_task_type/Alzheimer'sDiseaseDetection,https://paperswithcode.com/task/alzheimer-s-disease-detection,Alzheimer's Disease Detection
http://w3id.org/mlso/vocab/ml_task_type/AnalyticEntailment,https://paperswithcode.com/task/analytic-entailment,Analytic Entailment
http://w3id.org/mlso/vocab/ml_task_type/Ancestor-descendantprediction,https://paperswithcode.com/task/ancestor-descendant-prediction,Ancestor-descendant prediction
http://w3id.org/mlso/vocab/ml_task_type/Anchorlinkprediction,https://paperswithcode.com/task/anchor-link-prediction,Anchor link prediction
http://w3id.org/mlso/vocab/ml_task_type/AncientTextRestoration,https://paperswithcode.com/task/ancient-tex-restoration,Ancient Text Restoration
http://w3id.org/mlso/vocab/ml_task_type/AnnotatedCodeSearch,https://paperswithcode.com/task/annotated-code-search,Annotated Code Search
http://w3id.org/mlso/vocab/ml_task_type/AnomalyClassification,https://paperswithcode.com/task/anomaly-classification,Anomaly Classification
http://w3id.org/mlso/vocab/ml_task_type/AnomalyDetection,https://paperswithcode.com/task/anomaly-detection,Anomaly Detection
http://w3id.org/mlso/vocab/ml_task_type/AnomalyDetectionInSurveillanceVideos,https://paperswithcode.com/task/anomaly-detection-in-surveillance-videos,Anomaly Detection In Surveillance Videos
http://w3id.org/mlso/vocab/ml_task_type/AnswerGeneration,https://paperswithcode.com/task/answer-generation,Answer Generation
http://w3id.org/mlso/vocab/ml_task_type/AnswerSelection,https://paperswithcode.com/task/answer-selection,Answer Selection
http://w3id.org/mlso/vocab/ml_task_type/AnxietyDetection,https://paperswithcode.com/task/anxiety-detection,Anxiety Detection
http://w3id.org/mlso/vocab/ml_task_type/ArgumentMining,https://paperswithcode.com/task/argument-mining,Argument Mining
http://w3id.org/mlso/vocab/ml_task_type/ArgumentPairExtraction(APE),https://paperswithcode.com/task/argument-pair-extraction-ape,Argument Pair Extraction (APE)
http://w3id.org/mlso/vocab/ml_task_type/ArgumentRetrieval,https://paperswithcode.com/task/argument-retrieval,Argument Retrieval
http://w3id.org/mlso/vocab/ml_task_type/ArithmeticReasoning,https://paperswithcode.com/task/arithmetic-reasoning,Arithmetic Reasoning
http://w3id.org/mlso/vocab/ml_task_type/ArousalEstimation,https://paperswithcode.com/task/arousal-estimation,Arousal Estimation
http://w3id.org/mlso/vocab/ml_task_type/ArrhythmiaDetection,https://paperswithcode.com/task/arrhythmia-detection,Arrhythmia Detection
http://w3id.org/mlso/vocab/ml_task_type/ArtAnalysis,https://paperswithcode.com/task/art-analysis,Art Analysis
http://w3id.org/mlso/vocab/ml_task_type/AspectCategoryDetection,https://paperswithcode.com/task/aspect-category-detection,Aspect Category Detection
http://w3id.org/mlso/vocab/ml_task_type/AspectExtraction,https://paperswithcode.com/task/aspect-extraction,Aspect Extraction
http://w3id.org/mlso/vocab/ml_task_type/AspectSentimentTripletExtraction,https://paperswithcode.com/task/aspect-sentiment-triplet-extraction,Aspect Sentiment Triplet Extraction
http://w3id.org/mlso/vocab/ml_task_type/AspectTermExtractionandSentimentClassification,https://paperswithcode.com/task/aspect-term-extraction-and-sentiment,Aspect Term Extraction and Sentiment Classification
http://w3id.org/mlso/vocab/ml_task_type/Atomicactionrecognition,https://paperswithcode.com/task/atomic-action-recognition,Atomic action recognition
http://w3id.org/mlso/vocab/ml_task_type/AtrialFibrillationDetection,https://paperswithcode.com/task/atrial-fibrillation-detection,Atrial Fibrillation Detection
http://w3id.org/mlso/vocab/ml_task_type/AttentionScorePrediction,https://paperswithcode.com/task/attention-score-prediction,Attention Score Prediction
http://w3id.org/mlso/vocab/ml_task_type/AttractivenessEstimation,https://paperswithcode.com/task/attractiveness-estimation,Attractiveness Estimation
http://w3id.org/mlso/vocab/ml_task_type/AttributeExtraction,https://paperswithcode.com/task/attribute-extraction,Attribute Extraction
http://w3id.org/mlso/vocab/ml_task_type/AttributeValueExtraction,https://paperswithcode.com/task/attribute-value-extraction,Attribute Value Extraction
http://w3id.org/mlso/vocab/ml_task_type/Audio-VisualActiveSpeakerDetection,https://paperswithcode.com/task/audio-visual-active-speaker-detection,Audio-Visual Active Speaker Detection
http://w3id.org/mlso/vocab/ml_task_type/Audio-VisualSynchronization,https://paperswithcode.com/task/audio-visual-synchronization,Audio-Visual Synchronization
http://w3id.org/mlso/vocab/ml_task_type/Audio/VideotoTextRetrieval,https://paperswithcode.com/task/audio-video-to-text-retrieval,Audio/Video to Text Retrieval
http://w3id.org/mlso/vocab/ml_task_type/AudioEffectsModeling,https://paperswithcode.com/task/audio-effects-modeling,Audio Effects Modeling
http://w3id.org/mlso/vocab/ml_task_type/AudioEmotionRecognition,https://paperswithcode.com/task/audio-emotion-recognition,Audio Emotion Recognition
http://w3id.org/mlso/vocab/ml_task_type/AudioFingerprint,https://paperswithcode.com/task/audio-fingerprint,Audio Fingerprint
http://w3id.org/mlso/vocab/ml_task_type/AudioGeneration,https://paperswithcode.com/task/audio-generation,Audio Generation
http://w3id.org/mlso/vocab/ml_task_type/AudioMultipleTargetClassification,https://paperswithcode.com/task/audio-multiple-target-classification,Audio Multiple Target Classification
http://w3id.org/mlso/vocab/ml_task_type/AudioSignalProcessing,https://paperswithcode.com/task/audio-signal-processing,Audio Signal Processing
http://w3id.org/mlso/vocab/ml_task_type/AudioSourceSeparation,https://paperswithcode.com/task/audio-source-separation,Audio Source Separation
http://w3id.org/mlso/vocab/ml_task_type/AudioSuper-Resolution,https://paperswithcode.com/task/audio-super-resolution,Audio Super-Resolution
http://w3id.org/mlso/vocab/ml_task_type/AudioTagging,https://paperswithcode.com/task/audio-tagging,Audio Tagging
http://w3id.org/mlso/vocab/ml_task_type/Audiocaptioning,https://paperswithcode.com/task/audio-captioning,Audio captioning
http://w3id.org/mlso/vocab/ml_task_type/AudiotoTextRetrieval,https://paperswithcode.com/task/audio-to-text-retrieval,Audio to Text Retrieval
http://w3id.org/mlso/vocab/ml_task_type/AuthorAttribution,https://paperswithcode.com/task/author-attribution,Author Attribution
http://w3id.org/mlso/vocab/ml_task_type/AuthorshipVerification,https://paperswithcode.com/task/authorship-verification,Authorship Verification
http://w3id.org/mlso/vocab/ml_task_type/AutoDebugging,https://paperswithcode.com/task/auto-debugging,Auto Debugging
http://w3id.org/mlso/vocab/ml_task_type/AutomatedEssayScoring,https://paperswithcode.com/task/automated-essay-scoring,Automated Essay Scoring
http://w3id.org/mlso/vocab/ml_task_type/AutomatedTheoremProving,https://paperswithcode.com/task/automated-theorem-proving,Automated Theorem Proving
http://w3id.org/mlso/vocab/ml_task_type/AutomaticCellCounting,https://paperswithcode.com/task/automatic-cell-counting,Automatic Cell Counting
http://w3id.org/mlso/vocab/ml_task_type/AutomaticPhonemeRecognition,https://paperswithcode.com/task/automatic-phoneme-recognition,Automatic Phoneme Recognition
http://w3id.org/mlso/vocab/ml_task_type/AutomaticPost-Editing,https://paperswithcode.com/task/automatic-post-editing,Automatic Post-Editing
http://w3id.org/mlso/vocab/ml_task_type/AutomaticSleepStageClassification,https://paperswithcode.com/task/automatic-sleep-stage-classification,Automatic Sleep Stage Classification
http://w3id.org/mlso/vocab/ml_task_type/AutonomousNavigation,https://paperswithcode.com/task/autonomous-navigation,Autonomous Navigation
http://w3id.org/mlso/vocab/ml_task_type/B-Repfacesegmentation,https://paperswithcode.com/task/b-rep-face-segmentation,B-Rep face segmentation
http://w3id.org/mlso/vocab/ml_task_type/BandwidthExtension,https://paperswithcode.com/task/bandwidth-extension,Bandwidth Extension
http://w3id.org/mlso/vocab/ml_task_type/BayesianInference,https://paperswithcode.com/task/bayesian-inference,Bayesian Inference
http://w3id.org/mlso/vocab/ml_task_type/BayesianOptimization,https://paperswithcode.com/task/bayesian-optimization,Bayesian Optimization
http://w3id.org/mlso/vocab/ml_task_type/Behaviouralcloning,https://paperswithcode.com/task/behavioural-cloning,Behavioural cloning
http://w3id.org/mlso/vocab/ml_task_type/BiasDetection,https://paperswithcode.com/task/bias-detection,Bias Detection
http://w3id.org/mlso/vocab/ml_task_type/BidirectionalRelationshipClassification,https://paperswithcode.com/task/bidirectional-relationship-classification,Bidirectional Relationship Classification
http://w3id.org/mlso/vocab/ml_task_type/Binarization,https://paperswithcode.com/task/binarization,Binarization
http://w3id.org/mlso/vocab/ml_task_type/Biologically-plausibleTraining,https://paperswithcode.com/task/biologically-plausible-training,Biologically-plausible Training
http://w3id.org/mlso/vocab/ml_task_type/BirdAudioDetection,https://paperswithcode.com/task/bird-audio-detection,Bird Audio Detection
http://w3id.org/mlso/vocab/ml_task_type/BlackoutPoetryGeneration,https://paperswithcode.com/task/blackout-poetry-generation,Blackout Poetry Generation
http://w3id.org/mlso/vocab/ml_task_type/BlindFaceRestoration,https://paperswithcode.com/task/blind-face-restoration,Blind Face Restoration
http://w3id.org/mlso/vocab/ml_task_type/BloodCellCount,https://paperswithcode.com/task/blood-cell-count,Blood Cell Count
http://w3id.org/mlso/vocab/ml_task_type/BloodCellDetection,https://paperswithcode.com/task/blood-cell-detection,Blood Cell Detection
http://w3id.org/mlso/vocab/ml_task_type/BodyDetection,https://paperswithcode.com/task/body-detection,Body Detection
http://w3id.org/mlso/vocab/ml_task_type/BoundaryCaptioning,https://paperswithcode.com/task/boundary-captioning,Boundary Captioning
http://w3id.org/mlso/vocab/ml_task_type/BoundaryDetection,https://paperswithcode.com/task/boundary-detection,Boundary Detection
http://w3id.org/mlso/vocab/ml_task_type/BoundaryGrounding,https://paperswithcode.com/task/boundary-grounding,Boundary Grounding
http://w3id.org/mlso/vocab/ml_task_type/BrainDecoding,https://paperswithcode.com/task/brain-decoding,Brain Decoding
http://w3id.org/mlso/vocab/ml_task_type/BrainSegmentation,https://paperswithcode.com/task/brain-segmentation,Brain Segmentation
http://w3id.org/mlso/vocab/ml_task_type/BreastCancerDetection,https://paperswithcode.com/task/breast-cancer-detection,Breast Cancer Detection
http://w3id.org/mlso/vocab/ml_task_type/BreastTumourClassification,https://paperswithcode.com/task/breast-tumour-classification,Breast Tumour Classification
http://w3id.org/mlso/vocab/ml_task_type/BridgingAnaphoraResolution,https://paperswithcode.com/task/bridging-anaphora-resolution,Bridging Anaphora Resolution
http://w3id.org/mlso/vocab/ml_task_type/BurstImageSuper-Resolution,https://paperswithcode.com/task/burst-image-super-resolution,Burst Image Super-Resolution
http://w3id.org/mlso/vocab/ml_task_type/BusinessTaxonomyConstruction,https://paperswithcode.com/task/business-taxonomy-construction,Business Taxonomy Construction
http://w3id.org/mlso/vocab/ml_task_type/CCGSupertagging,https://paperswithcode.com/task/ccg-supertagging,CCG Supertagging
http://w3id.org/mlso/vocab/ml_task_type/COVID-19Diagnosis,https://paperswithcode.com/task/covid-19-detection,COVID-19 Diagnosis
http://w3id.org/mlso/vocab/ml_task_type/COVID-19Modelling,https://paperswithcode.com/task/covid-19-modelling,COVID-19 Modelling
http://w3id.org/mlso/vocab/ml_task_type/COVID-19Tracking,https://paperswithcode.com/task/covid-19-tracking,COVID-19 Tracking
http://w3id.org/mlso/vocab/ml_task_type/CameraAuto-Calibration,https://paperswithcode.com/task/camera-auto-calibration,Camera Auto-Calibration
http://w3id.org/mlso/vocab/ml_task_type/CameraCalibration,https://paperswithcode.com/task/camera-calibration,Camera Calibration
http://w3id.org/mlso/vocab/ml_task_type/CameraLocalization,https://paperswithcode.com/task/camera-localization,Camera Localization
http://w3id.org/mlso/vocab/ml_task_type/CameraRelocalization,https://paperswithcode.com/task/camera-relocalization,Camera Relocalization
http://w3id.org/mlso/vocab/ml_task_type/Camerashotsegmentation,https://paperswithcode.com/task/camera-shot-segmentation,Camera shot segmentation
http://w3id.org/mlso/vocab/ml_task_type/CamouflagedObjectSegmentation,https://paperswithcode.com/task/camouflaged-object-segmentation,Camouflaged Object Segmentation
http://w3id.org/mlso/vocab/ml_task_type/Cancertypeclassification,https://paperswithcode.com/task/cancer-type-classification,Cancer type classification
http://w3id.org/mlso/vocab/ml_task_type/CapacityEstimation,https://paperswithcode.com/task/capacity-estimation,Capacity Estimation
http://w3id.org/mlso/vocab/ml_task_type/CarPoseEstimation,https://paperswithcode.com/task/car-pose-estimation,Car Pose Estimation
http://w3id.org/mlso/vocab/ml_task_type/CardiacSegmentation,https://paperswithcode.com/task/cardiac-segmentation,Cardiac Segmentation
http://w3id.org/mlso/vocab/ml_task_type/CatalogExtraction,https://paperswithcode.com/task/catalog-extraction,Catalog Extraction
http://w3id.org/mlso/vocab/ml_task_type/CausalDiscovery,https://paperswithcode.com/task/causal-discovery,Causal Discovery
http://w3id.org/mlso/vocab/ml_task_type/CausalEmotionEntailment,https://paperswithcode.com/task/causal-emotion-entailment,Causal Emotion Entailment
http://w3id.org/mlso/vocab/ml_task_type/CausalIdentification,https://paperswithcode.com/task/causal-identification,Causal Identification
http://w3id.org/mlso/vocab/ml_task_type/CausalInference,https://paperswithcode.com/task/causal-inference,Causal Inference
http://w3id.org/mlso/vocab/ml_task_type/CausticsSegmentation,https://paperswithcode.com/task/caustics-segmentation,Caustics Segmentation
http://w3id.org/mlso/vocab/ml_task_type/CellDetection,https://paperswithcode.com/task/cell-detection,Cell Detection
http://w3id.org/mlso/vocab/ml_task_type/CellEntityAnnotation,https://paperswithcode.com/task/cell-entity-annotation,Cell Entity Annotation
http://w3id.org/mlso/vocab/ml_task_type/CellSegmentation,https://paperswithcode.com/task/cell-segmentation,Cell Segmentation
http://w3id.org/mlso/vocab/ml_task_type/CervicalNucleusDetection,https://paperswithcode.com/task/cervical-nucleus-detection,Cervical Nucleus Detection
http://w3id.org/mlso/vocab/ml_task_type/ChangeDetection,https://paperswithcode.com/task/change-detection,Change Detection
http://w3id.org/mlso/vocab/ml_task_type/ChangePointDetection,https://paperswithcode.com/task/change-point-detection,Change Point Detection
http://w3id.org/mlso/vocab/ml_task_type/ChemicalIndexing,https://paperswithcode.com/task/chemical-indexing,Chemical Indexing
http://w3id.org/mlso/vocab/ml_task_type/ChemicalReactionPrediction,https://paperswithcode.com/task/chemical-reaction-prediction,Chemical Reaction Prediction
http://w3id.org/mlso/vocab/ml_task_type/ChordRecognition,https://paperswithcode.com/task/chord-recognition,Chord Recognition
http://w3id.org/mlso/vocab/ml_task_type/Chunking,https://paperswithcode.com/task/chunking,Chunking
http://w3id.org/mlso/vocab/ml_task_type/CitationIntentClassification,https://paperswithcode.com/task/citation-intent-classification,Citation Intent Classification
http://w3id.org/mlso/vocab/ml_task_type/CitationPrediction,https://paperswithcode.com/task/citation-prediction,Citation Prediction
http://w3id.org/mlso/vocab/ml_task_type/CitationRecommendation,https://paperswithcode.com/task/citation-recommendation,Citation Recommendation
http://w3id.org/mlso/vocab/ml_task_type/Claim-EvidencePairExtraction(CEPE),https://paperswithcode.com/task/claim-evidence-pair-extraction-cepe,Claim-Evidence Pair Extraction (CEPE)
http://w3id.org/mlso/vocab/ml_task_type/ClaimExtractionwithStanceClassification(CESC),https://paperswithcode.com/task/claim-extraction-with-stance-classification,Claim Extraction with Stance Classification (CESC)
http://w3id.org/mlso/vocab/ml_task_type/ClaimVerification,https://paperswithcode.com/task/claim-verification,Claim Verification
http://w3id.org/mlso/vocab/ml_task_type/ClassIncrementalLearning,https://paperswithcode.com/task/class-incremental-learning,Class Incremental Learning
http://w3id.org/mlso/vocab/ml_task_type/ClassificationConsistency,https://paperswithcode.com/task/image-classification-shift-consistency,Classification Consistency
http://w3id.org/mlso/vocab/ml_task_type/ClassificationOfBreastCancerHistologyImages,https://paperswithcode.com/task/classification-of-breast-cancer-histology,Classification Of Breast Cancer Histology Images
